Function                        CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module                Function (Full)                                                      Source File      Start Address
------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  --------------------  -------------------------------------------------------------------  ---------------  -------------
IterativeSolver                  57.683s                  57.683s                            0s                       19.972s                     24.917s                        12.794s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  app-CPU               IterativeSolver(int, double const*, double const*, double*, double)  worker.cc        0x402230     
__kmp_fork_barrier               54.503s                       0s                            0s                            0s                          0s                             0s                            0s             54.503s                                          51.883s                                  0s                    2.620s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_fork_barrier(int, int)                                         kmp_barrier.cpp  0x596a0      
__kmp_join_barrier                3.800s                       0s                            0s                            0s                          0s                             0s                            0s              3.800s                                           3.600s                                  0s                    0.200s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_join_barrier(int)                                              kmp_barrier.cpp  0x583c0      
__kmp_join_call                   1.310s                       0s                            0s                            0s                          0s                             0s                            0s              1.310s                                           1.250s                                  0s                    0.060s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           __kmp_join_call                                                      kmp_runtime.cpp  0x885e0      
RelativeNormOfDifference          0.280s                   0.280s                            0s                        0.100s                      0.140s                         0.040s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  app-CPU               RelativeNormOfDifference(int, double const*, double const*)          worker.cc        0x402321     
vdRngUniform                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_intel_lp64.so  vdRngUniform                                                         [Unknown]        0x62f080     
vslNewStream                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libmkl_intel_lp64.so  vslNewStream                                                         [Unknown]        0x6381e0     
__kmp_get_global_thread_id_reg    0.010s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                  0.010s                               0s                                 0s                                0s                              0s                        0.010s  libiomp5.so           __kmp_get_global_thread_id_reg                                       kmp_runtime.cpp  0x804c0      
operator new                      0.010s                   0.010s                        0.010s                            0s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libpin3dwarf.so       operator new(unsigned long)                                          new.cpp          0xbb3a0      
pthread_create                    0.010s                       0s                            0s                            0s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                  0.010s                           0.010s                                 0s                                0s                              0s                            0s  libpthread.so.0       pthread_create                                                       [Unknown]        0x8040       
[Import thunk sched_yield]        0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libiomp5.so           [Import thunk sched_yield]                                           [Unknown]        0x21b10      
main$omp$parallel_for@68          0.010s                   0.010s                            0s                            0s                      0.010s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  app-CPU               main$omp$parallel_for@68                                             main.cc          0x401d6a     
